"","datapointID","DOI","inocType","FieldGreenhouse","treatment","location","TotBiomass","lat","lon","Study","studyGroup","yi"
"592",438,"10.1007/S00572-008-0203-4","soil","greenhouse","Inoculation with soil from a pasture","19°29' N, 105°01' W",10.97,19.4833333333333,-105.016666666667,64,"64.4",2.00312218651112
"593",439,"10.1007/S00572-008-0203-4","soil","greenhouse","Inoculation with soil from secondary forest","19°29' N, 105°01' W",11.51,19.4833333333333,-105.016666666667,64,"64.4",2.05117413495777
"594",440,"10.1007/S00572-008-0203-4","soil","greenhouse","Inoculation with soil from primary forest","19°29' N, 105°01' W",9.88,19.4833333333333,-105.016666666667,64,"64.4",1.89847042398375
"596",442,"10.1007/S00572-008-0203-4","soil","greenhouse","Inoculation with soil from a pasture","19°29' N, 105°01' W",10.29,19.4833333333333,-105.016666666667,64,"64.5",1.93913046206993
"597",443,"10.1007/S00572-008-0203-4","soil","greenhouse","Inoculation with soil from secondary forest","19°29' N, 105°01' W",12.48,19.4833333333333,-105.016666666667,64,"64.5",2.13208527516526
"598",444,"10.1007/S00572-008-0203-4","soil","greenhouse","Inoculation with soil from primary forest","19°29' N, 105°01' W",10.43,19.4833333333333,-105.016666666667,64,"64.5",1.95264418123666
"600",446,"10.1007/S00572-008-0203-4","soil","greenhouse","Inoculation with soil from a pasture","19°29' N, 105°01' W",11.95,19.4833333333333,-105.016666666667,64,"64.6",0.798042904203827
"601",447,"10.1007/S00572-008-0203-4","soil","greenhouse","Inoculation with soil from secondary forest","19°29' N, 105°01' W",8.88,19.4833333333333,-105.016666666667,64,"64.6",0.501113182830386
"602",448,"10.1007/S00572-008-0203-4","soil","greenhouse","Inoculation with soil from primary forest","19°29' N, 105°01' W",11.51,19.4833333333333,-105.016666666667,64,"64.6",0.760527848560098
"604",450,"10.1007/S00572-008-0203-4","soil","greenhouse","Inoculation with soil from a pasture","19°29' N, 105°01' W",7.45,19.4833333333333,-105.016666666667,64,"64.7",0.77565377121362
"605",451,"10.1007/S00572-008-0203-4","soil","greenhouse","Inoculation with soil from secondary forest","19°29' N, 105°01' W",5.93,19.4833333333333,-105.016666666667,64,"64.7",0.547463951831785
"606",452,"10.1007/S00572-008-0203-4","soil","greenhouse","Inoculation with soil from primary forest","19°29' N, 105°01' W",7.71,19.4833333333333,-105.016666666667,64,"64.7",0.80995792639739
"609",455,"10.1007/S00572-008-0203-4","soil","greenhouse","Inoculation with soil from secondary forest","19°29' N, 105°01' W",12.84,19.4833333333333,-105.016666666667,64,"64.8",0.0760268981443314
"611",457,"10.1016/J.APSOIL.2019.103370","soil","greenhouse","Inoculation with soil with native fungi (under Adenostoma fasciculatum)","33°28' N, 117°2' W",0.155,33.4666666666667,-117.033333333333,65,"65.9",0.780745239877931
"612",458,"10.1016/J.APSOIL.2019.103370","soil","greenhouse","Inoculation with soil with invasive fungi (under Bromus diandrus)","33°28' N, 117°2' W",0.113,33.4666666666667,-117.033333333333,65,"65.9",0.464707941671025
